resource_id,log_entry_id,log_variable_id,log_variable_value
3,1,1,2017-01-04-05:39:14
3,1,2,demo_input.csv
3,2,3,2017-01-04-05:39:14
3,2,4,55777372
3,3,3,2017-01-04-05:39:14
3,3,4,26986504
3,4,3,2017-01-04-05:39:14
3,4,4,14823697
3,5,3,2017-01-04-05:39:14
3,5,4,28514263
3,6,3,2017-01-04-05:39:14
3,6,4,10771367
3,7,3,2017-01-04-05:39:14
3,7,4,19525619
3,8,3,2017-01-04-05:39:14
3,8,4,71988488
3,9,3,2017-01-04-05:39:14
3,9,4,58875740
3,10,3,2017-01-04-05:39:14
3,10,4,13362900
3,11,3,2017-01-04-05:39:14
3,11,4,11614020
3,12,5,2017-01-04-05:39:14
3,12,6,scientificName
3,12,7,NO
3,13,5,2017-01-04-05:39:14
3,13,6,scientificName
3,13,7,NO
3,14,5,2017-01-04-05:39:14
3,14,6,scientificName
3,14,7,NO
3,15,5,2017-01-04-05:39:14
3,15,6,scientificName
3,15,7,NO
3,16,5,2017-01-04-05:39:14
3,16,6,scientificName
3,16,7,NO
3,17,5,2017-01-04-05:39:14
3,17,6,scientificName
3,17,7,YES
3,18,5,2017-01-04-05:39:14
3,18,6,scientificName
3,18,7,NO
3,19,5,2017-01-04-05:39:14
3,19,6,scientificName
3,19,7,NO
3,20,5,2017-01-04-05:39:14
3,20,6,scientificName
3,20,7,NO
3,21,5,2017-01-04-05:39:14
3,21,6,scientificName
3,21,7,NO
3,22,8,2017-01-04-05:39:14
3,22,9,ACCEPTED
3,22,10,55777372
3,23,8,2017-01-04-05:39:14
3,23,9,ACCEPTED
3,23,10,26986504
3,24,8,2017-01-04-05:39:14
3,24,9,UNABLE-to-validate
3,24,10,14823697
3,25,8,2017-01-04-05:39:14
3,25,9,ACCEPTED
3,25,10,28514263
3,26,8,2017-01-04-05:39:14
3,26,9,ACCEPTED
3,26,10,10771367
3,27,8,2017-01-04-05:39:14
3,27,9,UNABLE-to-validate
3,27,10,19525619
3,28,8,2017-01-04-05:39:14
3,28,9,ACCEPTED
3,28,10,71988488
3,29,8,2017-01-04-05:39:14
3,29,9,ACCEPTED
3,29,10,58875740
3,30,8,2017-01-04-05:39:14
3,30,9,ACCEPTED
